event_id,start_date,end_date,duration_days,n_active_cells,footprint_area_km2,peak_hail_max_in,peak_hail_mean_in,centroid_lat,centroid_lon
0,2004-03-01,2004-03-01,1,6,4620.36,1.6200000047683716,1.2033332586288452,42.651,-88.479
1,2004-05-05,2004-05-05,1,5,3850.2999999999997,2.869999885559082,1.619999885559082,38.073,-77.331
2,2004-05-06,2004-05-10,5,161,123979.65999999999,4.369999885559082,1.3901861906051636,41.27,-92.604
3,2004-05-11,2004-05-13,3,106,81626.36,4.369999885559082,1.5115094184875488,37.098,-98.159
4,2004-05-15,2004-05-15,1,7,5390.42,1.8700000047683716,1.4057142734527588,32.768,-102.639
5,2004-05-16,2004-05-16,1,30,23101.8,3.119999885559082,1.5783330202102661,39.635,-98.902
6,2004-05-17,2004-05-17,1,44,33882.64,2.869999885559082,1.4609090089797974,39.957,-92.441
7,2004-05-18,2004-05-18,1,11,8470.66,1.6200000047683716,1.2109090089797974,40.575,-92.288
8,2004-05-19,2004-05-23,5,286,220237.15999999997,4.369999885559082,1.5771678686141968,41.107,-93.97
9,2004-05-24,2004-05-27,4,267,205606.02,4.369999885559082,1.6087640523910522,38.647,-91.521
10,2004-05-28,2004-06-01,5,220,169413.19999999998,4.619999885559082,1.6995456218719482,37.402,-93.897
11,2004-06-02,2004-06-06,5,207,159402.41999999998,4.119999885559082,1.50285005569458,38.06,-96.946
12,2004-06-07,2004-06-09,3,46,35422.759999999995,4.369999885559082,1.4406522512435913,40.247,-97.376
13,2004-06-10,2004-06-14,5,227,174803.62,3.119999885559082,1.542907476425171,39.44,-95.587
14,2004-06-15,2004-06-19,5,114,87786.84,2.869999885559082,1.4950001239776611,37.671,-101.758
15,2004-06-20,2004-06-20,1,11,8470.66,2.119999885559082,1.5745453834533691,39.256,-104.078
16,2004-06-21,2004-06-21,1,32,24641.92,4.369999885559082,1.862187385559082,35.457,-100.819
17,2004-06-22,2004-06-22,1,4,3080.24,1.8700000047683716,1.8700000047683716,45.75,-109.438
18,2004-06-23,2004-06-23,1,15,11550.9,2.119999885559082,1.3533333539962769,44.272,-91.772
19,2004-06-24,2004-06-25,2,20,15401.199999999999,1.8700000047683716,1.382500171661377,36.505,-93.128
20,2004-06-26,2004-06-26,1,15,11550.9,2.119999885559082,1.4033335447311401,38.932,-102.525
21,2004-06-27,2004-06-27,1,4,3080.24,1.1200000047683716,1.1200000047683716,36.5,-95.062
22,2004-06-28,2004-06-28,1,2,1540.12,1.1200000047683716,1.1200000047683716,28.75,-90.5
23,2004-06-29,2004-06-30,2,13,10010.779999999999,1.8700000047683716,1.1776922941207886,42.927,-98.497
24,2004-07-02,2004-07-06,5,139,107038.34,4.369999885559082,1.5372661352157593,38.906,-95.645
25,2004-07-07,2004-07-07,1,36,27722.159999999996,4.119999885559082,1.8144444227218628,38.151,-95.208
26,2004-07-08,2004-07-09,2,36,27722.159999999996,3.119999885559082,1.5991663932800293,38.496,-98.259
27,2004-07-10,2004-07-11,2,53,40813.18,4.369999885559082,1.605849266052246,44.472,-101.526
28,2004-07-12,2004-07-14,3,120,92407.2,4.369999885559082,1.6408334970474243,41.637,-92.766
29,2004-07-15,2004-07-15,1,30,23101.8,2.119999885559082,1.6116663217544556,37.275,-92.861
30,2004-07-16,2004-07-16,1,9,6930.539999999999,1.8700000047683716,1.2311110496520996,40.065,-94.898
31,2004-07-17,2004-07-17,1,6,4620.36,1.8700000047683716,1.2450000047683716,38.604,-88.156
32,2004-07-18,2004-07-18,1,4,3080.24,1.8700000047683716,1.4950000047683716,43.504,-95.16
33,2004-07-19,2004-07-19,1,15,11550.9,2.119999885559082,1.5866668224334717,43.819,-101.067
34,2004-07-20,2004-07-20,1,17,13091.019999999999,3.119999885559082,1.5611764192581177,42.808,-97.475
35,2004-07-21,2004-07-22,2,20,15401.199999999999,2.119999885559082,1.3075001239776611,39.541,-97.593
36,2004-07-23,2004-07-23,1,3,2310.18,1.8700000047683716,1.4533333778381348,36.25,-94.793
37,2004-07-25,2004-07-25,1,1,770.06,1.1200000047683716,1.1200000047683716,41.75,-123.0
38,2004-07-26,2004-07-26,1,1,770.06,1.8700000047683716,1.8700000047683716,36.25,-83.5
39,2004-07-29,2004-07-29,1,10,7700.599999999999,1.8700000047683716,1.3949999809265137,42.276,-103.446
40,2004-07-30,2004-07-30,1,7,5390.42,2.869999885559082,1.7985714673995972,36.497,-98.956
41,2004-07-31,2004-08-04,5,88,67765.28,2.869999885559082,1.4950000047683716,43.368,-98.02
42,2004-08-05,2004-08-05,1,4,3080.24,1.6200000047683716,1.2450000047683716,43.67,-106.466
43,2004-08-06,2004-08-07,2,23,17711.379999999997,2.619999885559082,1.4678261280059814,40.851,-101.73
44,2004-08-08,2004-08-12,5,144,110888.63999999998,4.369999885559082,1.600902795791626,38.383,-98.771
45,2004-08-13,2004-08-13,1,4,3080.24,1.1200000047683716,1.1200000047683716,35.312,-107.062
46,2004-08-14,2004-08-14,1,9,6930.539999999999,1.8700000047683716,1.6200000047683716,38.11,-104.973
47,2004-08-15,2004-08-15,1,13,10010.779999999999,2.619999885559082,1.543076992034912,43.484,-100.634
48,2004-08-16,2004-08-16,1,7,5390.42,1.8700000047683716,1.4057142734527588,40.017,-97.725
49,2004-08-17,2004-08-17,1,12,9240.72,3.119999885559082,1.661666750907898,39.615,-90.019
50,2004-08-18,2004-08-18,1,11,8470.66,1.8700000047683716,1.4836363792419434,38.269,-86.053
51,2004-08-19,2004-08-20,2,27,20791.62,2.869999885559082,1.48111093044281,39.88,-86.42
52,2004-08-21,2004-08-21,1,15,11550.9,3.119999885559082,1.8200002908706665,34.246,-101.335
53,2004-08-22,2004-08-26,5,59,45433.53999999999,4.369999885559082,1.5055934190750122,42.397,-96.381
54,2004-08-27,2004-08-27,1,12,9240.72,1.8700000047683716,1.2033332586288452,38.423,-96.254
55,2004-08-28,2004-08-28,1,4,3080.24,1.8700000047683716,1.4325000047683716,35.129,-91.828
56,2004-08-29,2004-08-29,1,29,22331.739999999998,2.869999885559082,1.482068657875061,41.64,-98.162
57,2004-08-31,2004-08-31,1,3,2310.18,1.1200000047683716,1.1200000047683716,41.0,-100.0
58,2004-09-01,2004-09-01,1,2,1540.12,1.6200000047683716,1.3700000047683716,49.0,-110.965
59,2004-09-04,2004-09-04,1,2,1540.12,1.1200000047683716,1.1200000047683716,43.875,-98.125
60,2004-09-09,2004-09-09,1,2,1540.12,1.6200000047683716,1.3700000047683716,48.602,-102.25
61,2004-09-10,2004-09-10,1,3,2310.18,2.119999885559082,1.5366665124893188,44.345,-102.29
62,2004-09-11,2004-09-11,1,3,2310.18,2.119999885559082,1.7033332586288452,42.62,-94.259
63,2004-09-12,2004-09-12,1,6,4620.36,1.8700000047683716,1.661666750907898,35.712,-88.71
64,2004-09-13,2004-09-13,1,6,4620.36,1.6200000047683716,1.3700000047683716,42.977,-97.322
65,2004-09-14,2004-09-14,1,28,21561.68,2.619999885559082,1.5842854976654053,40.992,-101.602
66,2004-09-17,2004-09-17,1,16,12320.96,2.119999885559082,1.573124885559082,39.341,-96.445
67,2004-09-19,2004-09-19,1,1,770.06,1.1200000047683716,1.1200000047683716,45.0,-90.75
68,2004-09-22,2004-09-22,1,5,3850.2999999999997,1.8700000047683716,1.2699999809265137,34.559,-102.735
69,2004-09-23,2004-09-23,1,2,1540.12,2.619999885559082,1.869999885559082,31.65,-100.849
70,2004-09-25,2004-09-25,1,1,770.06,1.1200000047683716,1.1200000047683716,29.5,-103.75
71,2004-09-27,2004-09-27,1,1,770.06,1.1200000047683716,1.1200000047683716,41.0,-106.0
