return_period_yr,agg_n_cells,agg_events
50000.0,4671,162
25000.0,4444,162
16666.666666666668,4434,161
12500.0,4420,161
10000.0,4415,160
8333.333333333334,4386,160
7142.857142857143,4345,160
6250.0,4330,160
5555.555555555556,4305,159
5000.0,4300,159
4545.454545454545,4269,159
4166.666666666667,4235,159
3846.153846153846,4231,159
3571.4285714285716,4213,159
3333.3333333333335,4201,158
3125.0,4200,158
2941.176470588235,4175,158
2777.777777777778,4163,158
2631.5789473684213,4145,157
2500.0,4141,157
2380.9523809523807,4138,157
2272.7272727272725,4127,157
2173.913043478261,4125,157
2083.3333333333335,4117,157
2000.0,4115,157
1923.076923076923,4104,156
1851.851851851852,4101,156
1785.7142857142858,4094,155
1724.1379310344828,4092,155
1666.6666666666667,4090,155
1612.9032258064517,4087,155
1562.5,4086,155
1515.1515151515152,4081,155
1470.5882352941176,4081,155
1428.5714285714287,4080,155
1388.888888888889,4077,155
1351.3513513513512,4075,154
1315.7894736842106,4073,154
1282.051282051282,4072,154
1250.0,4067,154
1219.5121951219512,4051,154
1190.4761904761904,4050,154
1162.7906976744187,4046,154
1136.3636363636363,4043,154
1111.111111111111,4022,154
1086.9565217391305,4017,154
1063.8297872340424,4011,154
1041.6666666666667,4002,154
1020.4081632653061,3987,154
1000.0,3985,154
980.3921568627451,3982,154
961.5384615384615,3982,154
943.3962264150944,3980,154
925.925925925926,3976,154
909.0909090909091,3974,153
892.8571428571429,3972,153
877.1929824561404,3957,153
862.0689655172414,3956,153
847.457627118644,3952,153
833.3333333333334,3946,153
819.672131147541,3941,153
806.4516129032259,3932,153
793.6507936507936,3932,153
781.25,3926,153
769.2307692307693,3920,152
757.5757575757576,3920,152
746.2686567164179,3912,152
735.2941176470588,3906,152
724.6376811594203,3905,152
714.2857142857143,3898,152
704.2253521126761,3892,152
694.4444444444445,3889,152
684.931506849315,3886,152
675.6756756756756,3885,152
666.6666666666666,3880,152
657.8947368421053,3879,152
649.3506493506494,3879,152
641.025641025641,3879,152
632.9113924050633,3875,152
625.0,3874,152
617.283950617284,3873,152
609.7560975609756,3870,152
602.4096385542168,3870,152
595.2380952380952,3869,152
588.2352941176471,3869,152
581.3953488372093,3868,151
574.7126436781609,3867,151
568.1818181818181,3865,151
561.7977528089888,3864,151
555.5555555555555,3857,151
549.4505494505495,3851,151
543.4782608695652,3851,151
537.6344086021505,3850,151
531.9148936170212,3848,151
526.3157894736842,3846,151
520.8333333333334,3845,151
515.4639175257732,3845,151
510.2040816326531,3840,151
505.050505050505,3838,151
500.0,3836,151
495.0495049504951,3832,151
490.19607843137254,3829,151
485.43689320388347,3824,151
480.7692307692308,3820,151
476.1904761904762,3816,151
471.6981132075472,3815,151
467.2897196261682,3809,151
462.962962962963,3809,151
458.7155963302752,3806,150
454.54545454545456,3804,150
450.45045045045043,3798,150
446.42857142857144,3797,150
442.4778761061947,3793,150
438.5964912280702,3791,150
434.7826086956522,3789,150
431.0344827586207,3785,150
427.35042735042737,3783,150
423.728813559322,3782,150
420.16806722689074,3779,150
416.6666666666667,3769,150
413.22314049586777,3767,150
409.8360655737705,3767,150
406.5040650406504,3760,150
403.2258064516129,3757,150
400.0,3754,150
396.8253968253968,3751,150
393.7007874015748,3749,150
390.625,3748,150
387.5968992248062,3745,150
384.61538461538464,3744,150
381.6793893129771,3743,150
378.7878787878788,3743,150
375.9398496240602,3741,150
373.13432835820896,3740,150
370.3703703703704,3735,149
367.6470588235294,3734,149
364.963503649635,3733,149
362.3188405797101,3731,149
359.71223021582733,3730,149
357.14285714285717,3729,149
354.6099290780142,3728,149
352.11267605633805,3728,149
349.65034965034965,3727,149
347.22222222222223,3725,149
344.82758620689657,3722,149
342.4657534246575,3717,149
340.13605442176873,3717,149
337.8378378378378,3714,149
335.5704697986577,3714,149
333.3333333333333,3713,149
331.12582781456956,3710,149
328.94736842105266,3709,149
326.797385620915,3708,149
324.6753246753247,3706,149
322.5806451612903,3705,149
320.5128205128205,3705,149
318.47133757961785,3705,149
316.45569620253167,3703,149
314.4654088050315,3702,149
312.5,3701,149
310.55900621118013,3699,149
308.641975308642,3699,149
306.7484662576687,3698,149
304.8780487804878,3697,149
303.030303030303,3695,149
301.2048192771084,3695,149
299.4011976047904,3694,149
297.6190476190476,3693,149
295.85798816568047,3692,149
294.11764705882354,3690,149
292.39766081871346,3689,149
290.69767441860466,3688,149
289.01734104046244,3688,149
287.35632183908046,3687,149
285.7142857142857,3686,149
284.09090909090907,3685,149
282.4858757062147,3684,149
280.8988764044944,3683,149
279.3296089385475,3683,148
277.77777777777777,3681,148
276.24309392265195,3681,148
274.72527472527474,3681,148
273.224043715847,3679,148
271.7391304347826,3679,148
270.27027027027026,3676,148
268.81720430107526,3676,148
267.379679144385,3676,148
265.9574468085106,3675,148
264.55026455026456,3674,148
263.1578947368421,3674,148
261.78010471204186,3672,148
