return_period_yr,max_hail_in,n_cells
50000.0,10.0,540
25000.0,10.0,540
16666.666666666668,10.0,540
12500.0,10.0,540
10000.0,10.0,540
8333.333333333334,10.0,540
7142.857142857143,10.0,540
6250.0,10.0,540
5555.555555555556,10.0,540
5000.0,10.0,540
4545.454545454545,10.0,540
4166.666666666667,10.0,540
3846.153846153846,10.0,540
3571.4285714285716,10.0,540
3333.3333333333335,10.0,540
3125.0,10.0,540
2941.176470588235,10.0,540
2777.777777777778,10.0,540
2631.5789473684213,10.0,540
2500.0,10.0,540
2380.9523809523807,10.0,540
2272.7272727272725,10.0,540
2173.913043478261,10.0,540
2083.3333333333335,10.0,540
2000.0,10.0,540
1923.076923076923,10.0,540
1851.851851851852,10.0,540
1785.7142857142858,10.0,540
1724.1379310344828,10.0,540
1666.6666666666667,10.0,540
1612.9032258064517,10.0,540
1562.5,10.0,540
1515.1515151515152,9.990618,540
1470.5882352941176,9.981795,540
1428.5714285714287,9.972777,540
1388.888888888889,9.955667,540
1351.3513513513512,9.954848,540
1315.7894736842106,9.933017,540
1282.051282051282,9.91609,540
1250.0,9.899984,540
1219.5121951219512,9.878614,540
1190.4761904761904,9.876064,540
1162.7906976744187,9.872493,540
1136.3636363636363,9.871917,540
1111.111111111111,9.869752,540
1086.9565217391305,9.867024,540
1063.8297872340424,9.856486,540
1041.6666666666667,9.855396,540
1020.4081632653061,9.842064,540
1000.0,9.810058,540
980.3921568627451,9.806978,540
961.5384615384615,9.795024,540
943.3962264150944,9.792168,540
925.925925925926,9.789908,540
909.0909090909091,9.773589,540
892.8571428571429,9.768812,540
877.1929824561404,9.754477,540
862.0689655172414,9.736829,540
847.457627118644,9.727503,540
833.3333333333334,9.719848,540
819.672131147541,9.716977,540
806.4516129032259,9.702252,540
793.6507936507936,9.700027,540
781.25,9.698657,540
769.2307692307693,9.684775,540
757.5757575757576,9.683675,540
746.2686567164179,9.678767,540
735.2941176470588,9.672426,540
724.6376811594203,9.647405,540
714.2857142857143,9.645632,540
704.2253521126761,9.6414,540
694.4444444444445,9.641174,540
684.931506849315,9.610886,540
675.6756756756756,9.608579,540
666.6666666666666,9.583724,540
657.8947368421053,9.581296,540
649.3506493506494,9.580995,540
641.025641025641,9.577606,540
632.9113924050633,9.574682,540
625.0,9.573832,540
617.283950617284,9.572861,540
609.7560975609756,9.567948,540
602.4096385542168,9.565342,540
595.2380952380952,9.545582,540
588.2352941176471,9.545368,540
581.3953488372093,9.539616,540
574.7126436781609,9.521789,540
568.1818181818181,9.518022,540
561.7977528089888,9.502145,540
555.5555555555555,9.501089,540
549.4505494505495,9.49556,540
543.4782608695652,9.4926405,540
537.6344086021505,9.486461,540
531.9148936170212,9.486367,540
526.3157894736842,9.485686,540
520.8333333333334,9.483403,540
515.4639175257732,9.473064,540
510.2040816326531,9.458181,540
505.050505050505,9.45071,540
500.0,9.447732,540
495.0495049504951,9.4470415,540
490.19607843137254,9.442363,540
485.43689320388347,9.438063,540
480.7692307692308,9.437765,540
476.1904761904762,9.436784,540
471.6981132075472,9.429131,540
467.2897196261682,9.421627,540
462.962962962963,9.409813,540
458.7155963302752,9.393643,540
454.54545454545456,9.390699,540
450.45045045045043,9.382599,540
446.42857142857144,9.382434,540
442.4778761061947,9.379289,540
438.5964912280702,9.377921,498
434.7826086956522,9.376601,498
431.0344827586207,9.370595,498
427.35042735042737,9.36458,498
423.728813559322,9.363603,498
420.16806722689074,9.361638,498
416.6666666666667,9.356785,498
413.22314049586777,9.353494,498
409.8360655737705,9.353367,498
406.5040650406504,9.35024,498
403.2258064516129,9.340119,498
400.0,9.33811,498
396.8253968253968,9.334664,498
393.7007874015748,9.334656,498
390.625,9.331027,498
387.5968992248062,9.325266,498
